ra,dec,type,subtype,name,SDSS-ID,objID,sp-ID,oids
136.459987539146,44.8911810385543,NLS1.8,,,2863-301-1-0093-0240,1237657769631079936,,[Decimal('750203200006231')]
136.461663,22.608289,ABS,,2MASX J09055080+2236296       ,5038-301-3-0071-0046,1237667112257250048,2287-53705-0301,"[Decimal('618202300013804'), Decimal('569215200000545')]"
136.47796613368,24.3079850520565,LINER,,,4569-301-2-0168-0126,1237665097387079936,2086-53401-0149,[]
136.7199583,41.4082194,Em,BZG,5BZG J0906+4124,2864-301-4-0201-0041,1237657775543739904,1200-52668-0480,"[Decimal('709209400023450'), Decimal('710212300022199')]"
136.730867,27.824569,QSO1.5,,SDSS J090655.42+274928.2      ,4335-301-1-0174-0089,1237664091828250112,5780-56274-0982,[Decimal('618210200008323')]
136.7502917,8.9642472,Unknown,BZU,5BZB J0907+0857,3631-301-1-0134-0402,1237661068168649984,5299-55927-0730,[Decimal('518202200017149')]
136.948146,36.959817,QSO,,CRATES J0907+3657 NED06       ,3530-301-5-0143-0289,1237660636525029888,,"[Decimal('665213100006411'), Decimal('666216200000304'), Decimal('710204300007057')]"
136.959446,51.108314,Sy2.0/LINER,,SDSS J090749.88+510630.5      ,2074-301-2-0120-0472,1237654381440529920,5732-56326-0762,[]
136.983762,58.752194,QSO,,SDSS J090755.95+584508.8      ,1412-301-4-0017-0313,1237651539239170048,,[Decimal('816203300003736')]
137.017137005517,64.9465443701961,STAR K,,,4294-301-4-0193-0114,1237663917346449920,1877-54464-0320,[Decimal('816215300000242')]
137.050342,51.783628,QSO,,87GB 090442.4+515913          ,2074-301-3-0123-0021,1237654381977600000,552-51992-0616,[Decimal('785202300002078')]
137.087567,4.849917,AGN,,WISE J090821.02+045059.4      ,3015-301-3-0153-0754,1237658423543790080,1193-52652-0264,[Decimal('466211400015354')]
137.1494167,41.8461694,QSO1.5,BZQ,5BZQ J0908+4150,2830-301-5-0196-0212,1237657630051399936,1200-52668-0415,[Decimal('710212100004977')]
137.232996,16.165264,Unknown,,SDSS J090855.92+160954.8      ,5194-301-5-0161-0144,1237667783351790080,2437-53848-0246,[Decimal('569203100011534')]
137.233,16.1652194,Unknown,BZU,5BZB J0908+1609,5194-301-5-0161-0144,1237667783351790080,2437-53848-0246,[Decimal('569203100011534')]
137.292,1.3598889,QSO1.0,BZQ,5BZQ J0909+0121,6574-301-4-0140-0072,1237673709868410112,3819-55540-0186,[Decimal('466203400003344')]
137.292075,1.359989,QSO1.2,,[HB89] 0906+015               ,6574-301-4-0140-0072,1237673709868410112,3819-55540-0186,[Decimal('466203400003344')]
137.300642,14.770697,QSO1.2,,SDSS J090912.15+144613.7      ,5194-301-2-0159-0010,1237667781741050112,2434-53826-0638,[Decimal('518214100005013')]
137.3527917,52.2757194,QSO1.2,BZQ,5BZQ J0909+5216,1895-301-3-0207-0047,1237653613183950080,553-51999-0157,[Decimal('785202200012300')]
137.38954,42.89625,QSO,BZQ, 5BZUJ0909+4253 ,2740-301-2-0219-0181,1237657241895229952,831-52294-0039,[Decimal('710216400011997')]
137.40642,19.46883,AGN,,Mrk 1226,5080-301-4-0162-0040,1237667293188709888,2285-53700-0633,[Decimal('569211400009424')]
137.416,2.0014694,Continual without z,BZB,5BZB J0909+0200,6574-301-5-0143-0148,1237673710405479936,3819-55540-0876,[Decimal('466203100004618')]
137.416042,2.001481,Unknown,,PKS 0907+022                  ,6574-301-5-0143-0148,1237673710405479936,3819-55540-0876,[Decimal('466203100004618')]
137.42475,60.32439,STAR,,Mrk 393,4208-301-1-0212-0089,1237663546369900032,1786-54450-0130,[Decimal('816207300013254')]
137.447054,30.400836,NLQSO1.2,,FIRST J090947.2+302403        ,3704-301-1-0038-0081,1237661381694980096,1936-53330-0364,"[Decimal('665201400000246'), Decimal('666204300000216')]"
137.451992365226,41.9715899564028,HII,,,2830-301-5-0198-0397,1237657630051529984,1200-52668-0456,[Decimal('710212100003710')]
137.472,31.1008583,ABS,BZG,5BZB J0909+3106,3644-301-2-0186-0005,1237661124543510016,1591-52976-0125,"[Decimal('665201100017904'), Decimal('666204200024761')]"
137.499533,13.055269,QSO,,WISE J090959.86+130319.0      ,5972-301-6-0149-0653,1237671125372430080,5298-55979-0940,[Decimal('518210100003978')]
137.538917,61.524683,ABS,,SDSS J091009.45+613131.1      ,4208-301-3-0218-0239,1237663547444029952,1786-54450-0496,[]
137.572292,37.714494,QSO,,SDSS J091017.32+374252.0      ,2964-301-1-0084-0041,1237658203422190080,937-52707-0089,[Decimal('710204100007274')]
137.647456249661,31.4626919310151,STAR F,,,3704-301-3-0043-0018,1237661382769039872,1591-52976-0132,[]
137.6544167,33.4901389,Continual without z,BZB,5BZB J0910+3329,4516-301-2-0086-0029,1237664869748440064,5811-56334-0391,"[Decimal('665209400005709'), Decimal('666212300008029')]"
137.6755,22.8098889,QSO,BZQ,5BZQ J0910+2248,5045-301-2-0178-0199,1237667141792169984,5775-56009-0384,[Decimal('618202400003657')]
137.675592,22.809906,AGN,,SDSS J091042.12+224835.5      ,5045-301-2-0178-0199,1237667141792169984,5775-56009-0384,[Decimal('618202400003657')]
137.6887083,25.8035583,ABS,BZG,5BZB J0910+2548,4569-301-4-0179-0379,1237665098461540096,2087-53415-0308,[Decimal('618206100002082')]
137.71267078203,38.8395449695617,Unknown,,,2963-301-3-0108-0736,1237658200202540032,,[Decimal('710208400026866')]
