ZTFID,OID
ZTF22abeioig,633215200020458
ZTF22abegteh,401202300019077
ZTF22abecbbd,349215100036799
ZTF22abdxjhr,442204300008228
ZTF22abdstgi,294205100004322
ZTF22abdlnkm,651215100004053
ZTF22abdjqlm,796209200025493
ZTF22abddvec,492213400020287
ZTF22abcvfgs,388215200014430
ZTF22abcsiqk,406210100007910
ZTF22abclcse,505206400032480
ZTF22abcknjm,352204100031058
ZTF22abckjon,399201100030957
ZTF22abcfics,538216300005417
ZTF22abcckha,345207400018393
ZTF22abbtjlb,290215300012075
ZTF22abbmemk,826201200007757
ZTF22abbaqil,394210300023379
ZTF22abawyul,245208100006370
ZTF22abavsqq,601216200004281
ZTF22abaucrh,547201400022764
ZTF22abatsqa,876211200020354
ZTF22abatqod,584215300006297
ZTF22abaqzcm,605206200000120
ZTF22abanxam,632210200006440
ZTF22abakeha,532209400025028
ZTF22abakcfy,484208200030482
ZTF22abaiyyz,645202100015375
ZTF22abaette,847202200038906
ZTF22aazjqtu,453211200011664
ZTF22aazjiam,447203400012068
ZTF22aazjgoi,601216100004936
ZTF22aazgaus,585202200040406
ZTF22aazeagq,601216300014325
ZTF22aazbxmi,865215200001429
ZTF22aayvaoa,299201100013352
ZTF22aaypvib,650202300024806
ZTF22aayobas,489206100094035
ZTF22aaynvgi,597206100015364
ZTF22aaymjam,545210100001382
ZTF22aaylnhq,485212300020937
ZTF22aayjzmc,398210300016989
ZTF22aayfpso,698213400030019
ZTF22aaycdbt,338202300003513
ZTF22aaxklbk,632207200013206
ZTF22aaxfqka,391202300016588
ZTF22aawzdti,694203400017755
ZTF22aawtunt,633212400011146
ZTF22aawfjnt,503211400009085
ZTF22aawfeov,553211200013278
ZTF22aawcmcr,734203400028524
ZTF22aavpkwo,682201100027792
ZTF22aaveqbx,541201200049820
ZTF22aavcvgd,826207200011857
ZTF22aavbezc,553216400000584
ZTF22aausgkx,292208300028478
ZTF22aauhism,866213100030642
ZTF22aaudftc,441203200008167
ZTF22aaudeny,390213300018814
ZTF22aatuxjc,551206300009151
ZTF22aatunnt,493209200016707
ZTF22aatuatn,725203300042073
ZTF22aattwsv,286214400022031
ZTF22aatnyqk,633202100035957
ZTF22aatlhve,622206300015244
ZTF22aataizc,631216300025380
ZTF22aasojye,772213300039732
ZTF22aasmlyn,330205400151264
ZTF22aasmgbb,719202400015187
ZTF22aaskqie,501211400015389
ZTF22aasdtcq,772205300024551
ZTF22aarwwyy,648204400006405
ZTF22aarwtqp,596216100036926
ZTF22aarvtbb,824211400038354
ZTF22aartmuz,646215300026016
ZTF22aarrbne,727214400041240
ZTF22aarqrxf,533213200006012
ZTF22aarbard,490205300059049
ZTF22aaqrszt,548205100002409
ZTF22aaqhirm,587208300008619
ZTF22aapqaqe,849206200033547
ZTF22aapmmtu,683209200037167
ZTF22aapkbkl,647213200010054
ZTF22aapaavr,629208200013628
ZTF22aaozpun,679207300028086
ZTF22aaotgrc,684214100053495
ZTF22aaoskwd,676206100010650
ZTF22aaosjja,579209200009047
ZTF22aaorkwk,495212100029815
ZTF22aaoqfsm,864201100018629
ZTF22aaoolua,550209400030002
ZTF22aaonqcc,588214200061049
ZTF22aaolcan,822211400004668
ZTF22aaojclr,480215100036786
ZTF22aaoidkm,674207300006869
ZTF22aaohzok,378213200012583
ZTF22aaohmcv,631203400008695
ZTF22aaoewrn,635211200004895
ZTF22aanzrlh,681216100043761
ZTF22aanwibf,580201400014963
ZTF22aankxcq,646202200033572
ZTF22aanesux,724214400026473
ZTF22aamuuez,534207300001332
ZTF22aamtomc,791215400010680
ZTF22aamrkns,338201100016208
ZTF22aamrhna,391215400027689
ZTF22aamjqvc,580214400011443
ZTF22aamgpzz,337211300040517
ZTF22aamfwtc,637208400054499
ZTF22aamfvrs,849201300031391
ZTF22aamdxkj,683204400044752
ZTF22aambnsg,796209400041043
ZTF22aambfit,535201300026241
ZTF22aambeqv,484203200050547
ZTF22aalzyzl,844202400020449
ZTF22aalyumh,476205100023180
ZTF22aalwnzj,761212400012611
ZTF22aalwghb,432213100024762
ZTF22aalvmic,635207300028985
ZTF22aaluvun,728211100009319
ZTF22aalunvy,586216100009356
ZTF22aallgci,391206100035690
ZTF22aaldrem,375211100007809
ZTF22aaksdvi,439203300049139
ZTF22aakrimd,676213300017728
ZTF22aakqvzc,630210100010910
ZTF22aakqruk,820210200005890
ZTF22aakpwqf,624204300042525
ZTF22aaknrtp,683205400013021
ZTF22aaknmbw,795215300008549
ZTF22aaknhja,633207200004432
ZTF22aakmtrc,529213200009785
ZTF22aaketce,481216400010995
ZTF22aakemmo,676206100019917
ZTF22aakejxf,524202100033271
ZTF22aakbzzl,390210100031897
ZTF22aakaygk,533201100016532
ZTF22aajsqdv,732210400039145
ZTF22aajrrzz,583205400025326
ZTF22aajpzwm,766214100037167
ZTF22aajpgof,327202300026647
ZTF22aajowwt,325214300009697
ZTF22aajnffd,627205200003320
ZTF22aajlruz,719214100020518
ZTF22aajjawt,679215400041333
ZTF22aajigho,480214400013593
ZTF22aajhlat,860212200002562
ZTF22aajhkpo,670205200033997
ZTF22aajhiri,369209100016595
ZTF22aajakms,798203200006445
ZTF22aaimbfz,754214400012984
ZTF22aaijrul,545208200012152
ZTF22aaijrcl,441203300021382
ZTF22aaijnqy,763201200028876
ZTF22aahygkd,480210200009136
ZTF22aahwcya,751210100016078
ZTF22aahjayr,762207400002910
ZTF22aahieds,533201400027657
ZTF22aahhlnd,474209200022069
ZTF22aahhgue,789205200008824
ZTF22aahftli,827206100017050
ZTF22aahebcu,792216200017156
ZTF22aagvgwl,473214400036887
ZTF22aagtxzo,619203200013465
ZTF22aafnqfz,717210400016310
ZTF22aafffpq,371211100006247
ZTF22aaffaah,571203300006167
ZTF22aafdaai,572208100032446
ZTF22aaezyos,758203300018448
ZTF22aaezdtd,474203300008482
ZTF22aaeviey,788208100015621
ZTF22aaettxg,799205300025628
ZTF22aaetqzk,725212100012922
ZTF22aaemhwl,842202200022030
ZTF22aaemgsl,581211200028256
ZTF22aaecdin,371205400005408
ZTF22aaebkwd,628207400013569
ZTF22aaeasul,273212200028898
ZTF22aadqlhy,377215400035775
ZTF22aadolby,848206100023110
ZTF22aadnqsf,373203400023228
ZTF22aadlnaf,621210200005396
ZTF22aadkocy,316209400016759
ZTF22aadgsdi,765204300012300
ZTF22aadghdv,585203100042587
ZTF22aadfbim,673216300011684
ZTF22aadeurv,676211400036465
ZTF22aadetzg,677201400042430
ZTF22aadesjc,721215200004670
ZTF22aadephk,756209100029676
ZTF22aacwsjl,520205300013480
ZTF21acpzlho,449214300025507
ZTF21acoqbuo,413203300031089
ZTF21acojncf,474205200014036
ZTF21acnveyk,364211100011165
ZTF21acngvxd,524211300027944
ZTF21acmnpqa,842209300035125
ZTF21aclzvgz,861207200009990
ZTF21acljfzt,469201300006092
ZTF21ackrvob,456213100022374
ZTF21ackcxql,549210300020539
ZTF21acjvgxg,663215200011090
ZTF21acjrfhr,296201200010260
ZTF21acjqhou,524213300036472
ZTF21acjosix,788210100004929
ZTF21acjnzdh,858211200005013
ZTF21acjnajt,872204400001611
ZTF21acjmvhx,355201300016045
ZTF21acjglei,653203200039010
ZTF21acjdwfe,692214200014822
ZTF21acjbcqw,340214300040011
ZTF21aciwkzc,551214400015796
ZTF21aciuvmg,499213100009411
ZTF21aciuhyy,601216200035637
ZTF21acisemu,549203100015427
ZTF21acipmgw,517211300027883
ZTF21acipdhn,860214300012040
ZTF21acioxcf,514211100043774
ZTF21aciouwz,413214300004868
ZTF21acionva,747208300024322
ZTF21acioiha,840216200008005
ZTF21aciobmz,745214100013838
ZTF21acinvvh,406214200018927
ZTF21acilvjb,552203400009001
ZTF21acidhhs,751210100008144
ZTF21achzpyc,798213400036326
ZTF21achujxq,572215400019219
ZTF21achrlmg,295202200025883
ZTF21achqzub,599208100031434
ZTF21achpuoa,490216300075524
ZTF21achlxxo,856201100002858
ZTF21achlshg,649201300005912
ZTF21achiyue,518202300017416
ZTF21achhwdz,614210400026069
ZTF21achbgdo,849211100008474
ZTF21achaxze,388211400000195
ZTF21achaxmt,684206100031762
ZTF21acgyzel,296202100013341
ZTF21acgupte,617201300013139
ZTF21acguaen,786215400016889
ZTF21acgrrnl,746216300036024
ZTF21acgnagk,599202200029608
ZTF21acfgjiw,552202300021373
ZTF21acfflog,601206200030518
ZTF21acfccil,391203300021404
ZTF21aceyqog,301216200008832
ZTF21aceqgbv,858202100009222
ZTF21acempzi,340207100013758
ZTF21acefbte,710211100016275
ZTF21acdykpb,542213200034857
ZTF21acdvban,350210200004029
ZTF21acdqgns,597211400014672
ZTF21acdkxcr,586212300007632
ZTF21acdenty,588209100068486
ZTF21acdalyp,547209100013788
ZTF21accwovq,407203300014120
ZTF21accwcrh,557201300025628
ZTF21accuexh,504215400008835
ZTF21accteto,649202400036786
ZTF21accibae,448204300019341
ZTF21acchwaw,695209400003362
ZTF21acchbmn,647209400024306
ZTF21accgsbf,444203100027820
ZTF21accfbyj,567202400013175
ZTF21acbxtqq,662206300023660
ZTF21acbxtir,815203400027786
ZTF21acbvwej,400209200004449
ZTF21acbjxhr,499212100002100
ZTF21acbgcma,680207200025366
ZTF21acaszik,597211100027893
ZTF21acasrer,683215400023029
ZTF21acapxdf,700208400042991
ZTF21acagtdn,799203100039377
ZTF21acaeoms,661213300023761
ZTF21acaegsr,354202300004306
ZTF21abzywja,681211400002072
ZTF21abzkgvc,404209400033191
ZTF21abzithf,601205200006982
ZTF21abzcpiw,355203100025798
ZTF21abzciqh,602210200023287
ZTF21abzbuvf,397207200011927
ZTF21abyvjeq,440210200017162
ZTF21abyonuw,646215400007276
ZTF21abyguqw,406215200012606
ZTF21abyfxqr,552204400015503
ZTF21abybnni,391211200016626
ZTF21abxzzys,723204200011002
ZTF21abxnjeg,353205400000581
ZTF21abxlmuw,553215200011247
ZTF21abxknvv,394206300015058
ZTF21abxjcdc,391207400039421
ZTF21abxdibe,249212200015811
ZTF21abxdcmp,504205300010846
ZTF21abwzpgf,649206100035957
ZTF21abwxhje,341212400004876
ZTF21abwxaht,643209400030651
ZTF21abwukki,651207400014537
ZTF21abwqopp,827205100029929
ZTF21abwprfj,537216300013444
ZTF21abwjibi,391201400014781
ZTF21abwgpgt,823214100009575
ZTF21abwfnru,795203100035497
ZTF21abwcned,501205200011051
ZTF21abvxguf,352206400016748
ZTF21abvvuhm,343215300008661
ZTF21abvvivq,393205300028316
ZTF21abvtfxn,288207300009185
ZTF21abviabc,295214400004972
ZTF21abvcuhk,349213200025969
ZTF21abvctva,299211400022129
ZTF21abvcarc,598202200037323
ZTF21abvbhul,683202400006303
ZTF21abuyhau,722202300032241
ZTF21abulsgn,748216300010492
ZTF21abukwfl,392209200019838
ZTF21abujgmr,848216100003836
ZTF21abujejr,726214200000722
ZTF21abujefa,724210100008153
ZTF21abufayv,601205400007655
ZTF21abtzmlz,634206200007168
ZTF21abtwvyl,500206300015536
ZTF21abtuutw,396202300003571
ZTF21abtsoky,848206100009243
ZTF21abtorlk,454205300016126
ZTF21abtgbwr,493211100015329
ZTF21absbwyz,534207100001001
