ZTFID,OID
ZTF24aawxtxh,824215300017236
ZTF24aawxqjl,481216300027697
ZTF24aawxpeu,723201100018104
ZTF24aawtoiv,646210300006698
ZTF24aawshuy,849204300039197
ZTF24aawpwhq,497208100037325
ZTF24aawlotq,628213300019035
ZTF24aawlhdv,289211100012856
ZTF24aawlglu,291212100006664
ZTF24aawkujt,775202100024354
ZTF24aawklme,550206400023694
ZTF24aawjwxx,797206100015388
ZTF24aawhjnm,340210200028479
ZTF24aawbgfo,597209300018208
ZTF24aawakwl,598201300032674
ZTF24aawajih,1771202200048824
ZTF24aavzwkd,825207300004356
ZTF24aavzrue,545213400010947
ZTF24aavzglr,430207400023766
ZTF24aavyicb,795210100013093
ZTF24aavydau,1797205100030484
ZTF24aavttjp,484203300031732
ZTF24aavrdir,827206400022898
ZTF24aavpxsr,826212200028338
ZTF24aavovrp,480216400020914
ZTF24aavkhwi,495202100013082
ZTF24aavghxs,736201100038322
ZTF24aauyupk,1673206200037476
ZTF24aauypjo,586210100027931
ZTF24aauvgjm,598207400013869
ZTF24aauuovk,541203300059065
ZTF24aauuiva,826205400026875
ZTF24aautbcb,480207300000181
ZTF24aaumzhf,1581206200037037
ZTF24aaumhmm,633214200017319
ZTF24aaumgko,583214400009266
ZTF24aaumfvx,430214200034855
ZTF24aauhawc,601212100019971
ZTF24aaugxzp,1443203100036408
ZTF24aaugudk,646210100024849
ZTF24aaughlb,390209200012904
ZTF24aaugavy,596215200000727
ZTF24aauelbz,529201100022793
ZTF24aauekwz,479210400023840
ZTF24aatwwpj,726216400023924
ZTF24aatlqae,828207400022701
ZTF24aatieok,763209400032738
ZTF24aathzox,794205300033873
ZTF24aatgvrs,804202300034016
ZTF24aateouu,679210200041392
ZTF24aataxft,697204100034288
ZTF24aasvdze,586215400014787
ZTF24aasntvs,1858203200039752
ZTF24aasktmr,1630212400037627
ZTF24aasktkt,584202100021940
ZTF24aaskhrq,692215100037008
ZTF24aaseunp,394210100011983
ZTF24aascytf,680211400012993
ZTF24aarygdq,554201300025112
ZTF24aarxxmm,497201400011331
ZTF24aarxwyd,1680207200045326
ZTF24aarxtma,844213400010635
ZTF24aarrxzf,426202400002198
ZTF24aarjcbz,441212200003366
ZTF24aargoer,764206200014593
ZTF24aaredhj,865213300035365
ZTF24aarecvo,827209300003834
ZTF24aardahz,1530212300043813
ZTF24aaqzycc,727213200016588
ZTF24aaqxkvr,426207300009062
