amplitude_magn_r,ln1p_anderson_darling_normal_magn_r,beyond_1_std_magn_r,beyond_2_std_magn_r,cusum_magn_r,lg_inter_percentile_range_2_magn_r,lg_inter_percentile_range_10_magn_r,lg_inter_percentile_range_25_magn_r,kurtosis_magn_r,arcsinh_linear_fit_slope_magn_r,lg_linear_fit_slope_sigma_magn_r,ln1p_linear_fit_reduced_chi2_magn_r,arcsinh_linear_trend_magn_r,lg_linear_trend_sigma_magn_r,lg_linear_trend_noise_magn_r,mean_magn_r,median_absolute_deviation_magn_r,period_0_magn_r,period_s_to_n_0_magn_r,period_1_magn_r,period_s_to_n_1_magn_r,period_2_magn_r,period_s_to_n_2_magn_r,period_3_magn_r,period_s_to_n_3_magn_r,period_4_magn_r,period_s_to_n_4_magn_r,periodogram_amplitude_magn_r,periodogram_beyond_2_std_magn_r,periodogram_beyond_3_std_magn_r,periodogram_standard_deviation_magn_r,ln1p_chi2_magn_r,arcsinh_skew_magn_r,standard_deviation_magn_r,stetson_K_magn_r,weighted_mean_magn_r,lg_otsu_mean_diff_magn_r,otsu_std_lower_magn_r,otsu_std_upper_magn_r,otsu_lower_to_all_ratio_magn_r,mean_variance_flux_r,excess_variance_flux_r,bazin_fit_mag_full_amplitude_flux_r,bazin_fit_baseline_amplitude_ratio_flux_r,bazin_fit_rise_time_flux_r,bazin_fit_fall_time_flux_r,ln1p_bazin_fit_reduced_chi2_flux_r,oid,artefact,is_sn,regular_obj,akb_ot,label
1.8523197,1.857875,0.24358974,0.070512824,0.37970692,0.51477444,0.34634763,0.04161418,0.64930534,0.0024168126,-4.509625,5.1089725,0.0007503803,-3.7550242,-0.093547076,19.77679,0.5424061,680.2239,35.289227,0.9960521,27.296972,278.78027,26.556484,0.99880165,22.150114,0.9984498,21.902363,23.146729,0.02433014,0.011390686,1.2896457,5.317268,-0.96323615,0.849835,0.8897794,18.317354,0.18237202,0.66354394,0.3335812,0.32051283,1.2149894,1.4708455,19.003757,0.48731738,1e-04,314.03006,4.748768,783212400036985,0.0,1.0,0.0,0.0,1
0.9573574,3.4858,0.21606119,0.045889102,0.17831194,0.09290291,-0.24625231,-0.60435563,4.9920063,0.00027730176,-5.4093432,3.4342406,0.000118703145,-4.8060284,-0.5896378,19.305353,0.12237072,0.9959976,33.34728,1663.4065,31.100384,326.74057,28.315054,1.0012296,28.229029,0.99784434,28.030807,31.858313,0.017913818,0.009757996,1.8835696,3.5786834,-1.3457061,0.26415473,0.65592366,19.15491,-0.21259567,0.28078985,0.14650805,0.125239,0.31982133,0.098570146,18.866198,0.62134355,1e-04,4670.7334,3.051832,651207300025515,0.0,1.0,0.0,0.0,1
0.5854759,4.6393733,0.07394366,0.036384977,0.17457083,-0.1314899,-0.78599155,-1.1319151,19.580645,-0.00012503678,-5.954181,4.746864,-8.160771e-05,-5.0059114,-0.8462568,17.006834,0.035907745,2371.4583,23.168144,1.0027307,23.04055,0.9943742,22.646791,0.9945306,22.639996,178.97798,20.477076,19.09774,0.0256958,0.012161255,1.6103868,4.867341,-2.1166956,0.14800309,0.49692598,16.985956,-0.15392631,0.19605885,0.067782246,0.03403756,0.18574078,0.034274384,17.347979,2.711513,1e-04,1e-04,4.3358936,784211300000563,0.0,1.0,0.0,0.0,1
1.6072807,2.2383254,0.3678161,0.01724138,0.42528155,0.4801008,0.39414352,0.20389947,-0.88572073,0.001978545,-4.630516,4.012615,0.0010713281,-3.8777242,-0.09522767,20.29235,0.52119255,1.0005784,25.34413,311.0921,24.799046,1477.6875,23.965176,492.56253,23.55974,0.99933785,23.141512,26.156677,0.019412994,0.011886597,2.0295537,4.566962,-0.6690184,0.94070125,0.927368,19.065382,0.27231243,0.40013877,0.37649858,0.29885057,1.013059,1.0196925,18.745083,0.21044084,1e-04,55.419434,3.8971202,651211100024810,0.0,1.0,0.0,0.0,1
2.1212568,1.0957266,0.33076924,0.03846154,0.4121234,0.59778357,0.48149604,0.18527974,-0.55098844,0.0051751067,-4.145766,4.8954544,0.0022850656,-3.4749813,-0.025495738,19.01606,0.7771864,828.7211,26.301176,247.37944,22.400274,165.74422,22.170456,1.0013547,21.014975,1.003355,20.188818,25.556612,0.018974304,0.010726929,1.9031382,5.155046,0.5534668,1.0968441,0.90922594,18.017527,0.27661854,0.5098944,0.7095012,0.61538464,0.7843243,0.6133288,15.701874,0.0010407974,29.515343,46.33951,4.3001437,785210300019938,0.0,1.0,0.0,0.0,1
0.9610777,4.2076263,0.13360325,0.051619433,0.22630912,0.122473,-0.33125198,-0.6751517,8.5509205,7.578239e-05,-5.1214666,3.0530095,1.6189924e-06,-4.748606,-0.54814523,20.086332,0.101774216,1.0025477,41.492577,1076.3824,35.535988,0.4999454,33.399525,397.79352,30.758228,469.19235,30.695303,42.885468,0.0119133,0.0057258606,2.0422719,3.0568318,-1.6900711,0.28290248,0.64355123,19.867584,-0.040030282,0.3283065,0.14421052,0.06882591,0.39091504,0.1420683,21.448427,6.345145,1e-04,457.4781,2.3537703,651211200004185,0.0,1.0,0.0,0.0,1
1.7361393,3.5064695,0.20596206,0.043360434,0.44846457,0.446217,0.30537936,0.16621861,-0.6867919,0.003347495,-4.4216137,1.847975,0.0028832234,-4.058206,-0.35406142,19.59133,0.14959717,1085.256,18.518644,0.9981256,14.50538,106.03076,13.689083,0.9963468,12.915533,1.0009415,12.885578,77.86619,0.04870224,0.02961731,8.231298,3.3162427,0.7550741,0.8795798,0.8149676,19.021841,0.22434238,0.18347305,0.49309814,0.6233062,0.55367035,0.30069518,17.540405,0.06907236,48.56067,127.05728,2.1239598,785203200021897,0.0,1.0,0.0,0.0,1
1.7288265,2.6886256,0.15413533,0.04511278,0.25715685,0.4319173,0.007365019,-0.314555,7.4889183,0.0014750985,-4.671376,4.159239,0.00031899192,-4.165921,-0.2766828,20.30221,0.23390675,1.0006973,33.487957,308.08563,31.003036,0.9965207,28.081377,0.500139,25.15854,1005.33203,24.62238,17.662384,0.03357315,0.013530731,1.0321985,4.40506,-1.6046667,0.54924303,0.7977142,19.139084,0.21100831,0.6806755,0.30144086,0.075187966,1.1214192,1.2390537,29.247425,6933.7593,1e-04,4400303.0,3.4605358,785205200018859,0.0,1.0,0.0,0.0,1
0.78616714,4.0285034,0.14204545,0.04431818,0.23871042,0.03698784,-0.38911152,-0.7705363,7.610465,-0.00017868832,-5.2576923,2.9082508,-6.102874e-05,-4.838788,-0.65414196,19.171661,0.08099365,723.9115,33.40787,1.0012606,32.181644,1344.4071,31.089495,1.0006751,27.685232,0.9965953,26.658651,38.47095,0.025104523,0.011291504,2.2622113,2.9701786,-1.6244061,0.22383986,0.6385431,19.045513,-0.19403276,0.2749265,0.115771085,0.08409091,0.27560472,0.070212185,17.747896,-0.13521083,378.46124,416.5133,2.4013984,786205100001957,0.0,1.0,0.0,0.0,1
1.2150984,4.247337,0.1269663,0.06741573,0.23847356,0.24894759,-0.21166551,-0.54959,5.1971784,0.00018335131,-5.4611535,5.1888514,9.2647984e-05,-4.606621,-0.41977853,18.580744,0.13288116,1555.1263,27.966707,1.0006175,23.814232,1.0027683,23.21511,982.1851,22.817287,0.999064,22.530975,43.85999,0.021297455,0.011245728,3.0765944,5.2052326,-1.538043,0.38316527,0.74693626,18.231884,0.07380203,0.29898125,0.17941114,0.08539326,0.54591423,0.29612786,16.225592,0.20852692,2.8375955,23.07294,2.6219761,786202300014371,0.0,1.0,0.0,0.0,1
