ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF22aajcupz,1851206300034470,SN2022jie,12:42:48.12,+64:34:29.6,1726.78,g,18.3685,-19.27,52.533,17.573,34.96,SN IIn,0.0748,52.52792056,0.054
ZTF22aajakms,798203200006445,SN2022jih,18:33:19.41,+52:30:20.3,1709.92,r,18.6557,-17.24,19.074,5.122,13.952,SN Ib/c,0.0335,23.86344413,0.109
ZTF22aaipocw,1719210100034528,SN2022jbg,15:25:05.98,+37:57:37.6,1711.75,g,16.8811,-18.71,19.229,6.291,12.938,SN Ia,0.02978,56.12791727,0.038
ZTF22aaimgvi,575208400026840,SN2022izy,11:50:36.80,+17:49:27.0,1714.73,r,18.6681,-19.08,24.258,14.512,9.746,SN Ia,0.078,73.17232481,0.101
ZTF22aaimbfz,754214400012984,SN2022jaa,11:51:40.58,+50:11:40.1,1713.7,g,18.0783,-19.65,23.642,11.171,12.471,SN Ia,0.078,64.26248442,0.056
ZTF22aaijrul,545208200012152,SN2022jsn,21:35:51.21,+10:51:07.3,1713.94,g,18.2966,-19.88,24.65,12.639,12.011,SN Ia,0.09,-29.26089645,0.165
ZTF22aaijrcl,441203300021382,SN2022ine,21:13:47.01,-05:49:03.8,1707.96,r,17.6072,-19.39,>21.746,>9.01,12.736,SN Ia,0.04908,-34.15699583,0.422
ZTF22aaijnqy,763201200028876,SN2022iyn,17:47:31.67,+45:18:14.3,1710.95,g,18.3771,-19.48,25.234,8.329,16.905,SN Ia-91T,0.082,29.76486583,0.073
ZTF22aahygkd,480210200009136,SN2022iqp,15:34:02.04,+06:13:07.6,1711.84,r,18.5093,-19.19,30.574,11.55,19.024,SN Ia,0.0752,46.10964864,0.138
ZTF22aahwcya,751210100016078,SN2022jfi,10:02:06.14,+48:58:26.2,1708.73,r,18.1987,-19.10,>19.741,8.741,>11,SN Ia,0.0653,50.8824621,0.035
ZTF22aahjayr,762207400002910,SN2022ilq,16:51:56.41,+46:31:57.3,1702.95,g,18.3831,-19.07,26.875,5.993,20.882,SN Ia,0.069,39.48731328,0.053
ZTF22aahieds,533201400027657,SN2022ifn,16:25:17.08,+08:14:50.8,1702.92,r,18.2371,-18.64,16.278,8.963,7.315,SN Ia,0.051,36.14238837,0.177
ZTF22aahhlnd,474209200022069,SN2022ied,12:59:37.27,+05:36:52.7,1709.72,r,17.35,-19.46,26.528,8.723,17.805,SN Ia,0.051,68.39828515,0.095
ZTF22aahhgue,789205200008824,SN2022igf,12:15:39.52,+54:30:45.2,1701.87,g,18.6653,-19.51,26.342,6.765,19.577,SN Ia,0.096,61.84308018,0.044
ZTF22aahftli,827206100017050,SN2022ihx,19:16:38.42,+61:41:15.4,1698.96,g,18.0882,-17.89,17.796,5.236,12.56,SN Ibn,0.033,20.80058994,0.171
ZTF22aahebcu,792216200017156,SN2022ibc,13:50:15.52,+57:48:01.9,1711.72,g,16.3168,-20.00,25.614,13.519,12.095,SN Ia,0.042,57.62550276,0.013
ZTF22aagzmcz,1623216100037007,SN2022ibn,13:06:14.58,+25:27:41.3,1707.75,r,18.3832,-16.75,>32.081,>13.99,18.091,SN Ic,0.0242,86.28686321,0.041
ZTF22aagyrlp,520211300035400,SN2022huw,09:56:46.79,+11:54:31.3,1699.71,g,17.3661,-19.17,23.573,9.772,13.801,SN Ia,0.04460,46.38985171,0.088
ZTF22aagvgwl,473214400036887,SN2022hss,12:25:38.39,+07:11:33.0,1695.73,r,17.3957,-17.83,>33.648,>7.87,25.778,SN II,0.025,69.14539107,0.072
ZTF22aagtxzo,619203200013465,SN2022hsv,09:29:29.83,+23:21:17.2,1689.78,g,18.9478,-18.91,>27.01,>2.11,>24.9,SN Ia,0.0817,44.47890042,0.079
ZTF22aagsmli,1751209400023110,SN2022imy,10:36:28.06,+44:52:58.2,1690.76,g,18.3769,-19.29,>19.102,>4.93,14.172,SN Ia,0.07610,57.79451444,0.052
ZTF22aafrsmk,1630210100036244,SN2022hoc,16:50:15.71,+23:34:57.5,1690.96,r,18.161,-17.93,>15.022,>7.06,7.962,SN Ia,0.03606,36.43258375,0.15
ZTF22aafokgy,709208100033419,SN2022hlh,08:36:33.75,+40:23:54.3,1693.68,r,18.4773,-18.70,>27.364,>10.89,16.474,SN Ia,0.06,36.5573231,0.111
ZTF22aafnqtw,1661209100034893,SN2022hlc,08:28:28.04,+30:50:04.6,1689.68,r,18.3905,-18.41,>14.682,>6.97,7.712,SN Ia,0.05013,33.20778492,0.137
ZTF22aafnqfz,717210400016310,SN2022hlj,13:32:18.80,+40:40:25.1,1696.72,g,17.6178,-19.28,22.203,9.503,12.7,SN Ia,0.05447,74.04498447,0.019
ZTF22aafffpq,371211100006247,SN2022hja,12:34:00.69,-08:39:25.3,1693.75,r,18.4511,-18.29,28.136,14.539,13.597,SN Ia,0.04975,53.96625182,0.088
ZTF22aaffaah,571203300006167,SN2022haz,10:03:15.31,+15:21:32.7,1685.82,g,18.1397,-19.62,31.274,4.567,26.707,SN Ia,0.07749,49.29578231,0.091
ZTF22aafdaai,572208100032446,SN2022hbp,10:26:05.46,+18:24:44.2,1689.78,g,18.4506,-19.35,31.721,6.773,24.948,SN Ia,0.08,55.51272868,0.069
ZTF22aaezyos,758203300018448,SN2022hgk,14:10:23.70,+44:14:01.2,1711.85,r,17.8854,-17.90,19.222,6.242,12.98,SN Ib,0.033,66.67820023,0.018
ZTF22aaezdtd,474203300008482,SN2022gzg,12:43:37.53,+01:23:03.8,1682.71,g,18.2705,-19.74,10.498,4.562,5.936,SN Ibn,0.08880,64.18798743,0.049
ZTF22aaeviey,788208100015621,SN2022gwh,11:00:12.04,+54:03:12.7,1696.76,r,16.794,-18.79,26.52,14.602,11.918,SN Ia,0.03,56.2282495,0.025
ZTF22aaettxg,799205300025628,SN2022grr,19:41:30.62,+53:32:16.0,1685.87,r,18.8847,-19.34,>24.32,>9.92,14.4,SN Ia-91T,0.09,14.60098631,0.3
ZTF22aaetqzk,725212100012922,SN2022gzi,17:46:04.84,+42:16:34.5,1721.85,r,18.2369,-19.83,49.21,22.386,26.824,SN IIn,0.089,29.47213568,0.141
ZTF22aaemoot,327213200039924,SN2022fqe,15:48:24.09,-13:45:33.0,1694.81,r,17.0022,-18.53,>36.94,>19.87,17.07,SN II,0.025,30.7205433,0.44
ZTF22aaemhwl,842202200022030,SN2022gnz,10:56:39.86,+67:10:50.4,1689.8,g,16.8244,-19.00,29.597,9.986,19.611,SN Ia,0.03312,46.30869541,0.04
ZTF22aaemgsl,581211200028256,SN2022gyi,14:49:18.72,+20:17:15.3,1688.89,r,18.1371,-19.12,23.051,10.921,12.13,SN Ia,0.06260,62.23710459,0.096
ZTF22aaedgbt,480206300017197,SN2022fqo,15:35:59.60,+03:25:39.2,1682.89,g,18.6782,-19.36,>17.919,>9.04,8.879,SN Ia,0.085,44.13320129,0.152
ZTF22aaecdin,371205400005408,SN2022fzf,12:48:02.23,-11:25:38.2,1687.86,r,18.0808,-17.60,>40.238,>14.04,26.198,SN IIb,0.03,51.43554934,0.139
ZTF22aaebkwd,628207400013569,SN2022gbn,14:03:17.14,+24:38:38.9,1684.84,r,18.4687,-17.50,>28.68,>12.01,16.67,SN Ib,0.0354,73.66523127,0.051
ZTF22aaeasul,273212200028898,SN2022gkd,13:32:13.44,-22:37:44.0,1682.81,r,18.8354,-16.96,>63.88,>10,>53.88,SN II,0.03024,39.27580354,0.255
ZTF22aaeaqmz,787205200003585,SN2022gpw,10:47:42.19,+54:24:41.5,1685.83,g,18.0549,-19.32,24.023,8.011,16.012,SN Ia,0.067,54.59550976,0.037
ZTF22aadqlhy,377215400035775,SN2022frl,15:21:33.14,-07:26:52.0,1693.81,r,14.9641,-17.32,28.553,13.621,14.932,SN Ib-pec,0.006,39.84734416,0.269
ZTF22aadpsxa,715209300026849,SN2022fuf,12:26:11.84,+41:01:06.3,1684.78,g,17.2297,-19.51,22.677,8.545,14.132,SN Ia,0.05,75.17009097,0.045
ZTF22aadolby,848206100023110,SN2022fny,18:00:07.63,+68:35:12.3,1683.88,r,18.1554,-16.65,>26.487,>10.08,16.407,SN II,0.02,29.77874851,0.151
ZTF22aadnqsf,373203400023228,SN2022frq,13:27:56.89,-13:24:59.2,1683.87,r,17.9466,-17.14,62.77,11.992,50.778,SN II,0.02257,48.49834891,0.176
ZTF22aadlnaf,621210200005396,SN2022fwg,10:35:07.90,+27:25:13.6,1683.87,r,18.2828,-17.84,23.486,9.896,13.59,SN Ia,0.038,59.807022,0.046
