ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF20aavnnat,722213400040335,SN2020hyh,16:31:54.95,+42:42:37.2,973.95,g,16.9146,-18.84,18.253,6.709,11.544,SN Ia,0.03220,43.09952754,0.033
ZTF20aavdgib,827208100007069,SN2020hwt,18:50:19.08,+61:31:49.5,968.92,r,18.9744,-19.37,28.776,11.782,16.994,SN Ia,0.1,23.76070248,0.161
ZTF20aavcvrm,679201300021432,SN2020hyj,16:23:47.22,+29:58:58.5,968.88,r,18.8735,-18.08,22.797,9.877,12.92,SN Ic-BL,0.055,43.69880555,0.077
ZTF20aauvmix,677208100008639,SN2020hhh,14:58:15.81,+33:06:51.2,963.8,g,18.8722,-19.39,30.676,13.58,17.096,SN Ia,0.1,62.04224211,0.045
ZTF20aaurucm,665212300011049,SN2020gct,08:38:34.12,+33:49:52.0,962.68,r,18.1905,-19.88,25.332,13.957,11.375,SN Ia,0.09,35.94453023,0.113
ZTF20aaurjbj,719208400029378,SN2020hgw,14:18:19.12,+38:55:46.2,964.85,g,17.559,-18.83,32.442,12.139,20.303,SN II,0.043,68.38954108,0.034
ZTF20aaurexl,725216400027089,SN2020hes,17:47:05.71,+42:46:39.7,964.93,r,18.2999,-19.21,23.19,14.197,8.993,SN Ic-BL,0.07,29.38555403,0.106
ZTF20aauooag,684209300056817,SN2020fxm,18:59:49.91,+33:38:52.3,953.93,g,17.5923,-20.21,20.657,6.635,14.022,SN Ia,0.075,13.03390382,0.187
ZTF20aatulug,824207100012201,SN2020fhk,16:20:05.75,+61:47:24.9,945.0,g,18.3341,-19.90,35.18,17.322,17.858,SN Ia,0.097,41.29079911,0.07
ZTF20aattztb,581206400025458,SN2020fhw,15:00:29.89,+17:14:10.5,998.78,r,18.6918,-19.84,97.801,54.336,43.465,SN IIn,0.1116,58.636326,0.093
ZTF20aattqle,584207100029112,SN2020eoe,16:18:02.66,+18:02:31.8,953.94,r,17.914,-18.65,44.365,22.209,22.156,SN II,0.04543,41.779079,0.11
ZTF20aatqesi,846216200036320,SN2020faa,14:47:09.48,+72:44:11.5,1051.85,r,17.4265,-18.88,>70.854,27.024,>43.83,SN II,0.04106,41.80543338,0.067
ZTF20aatqene,845211100026121,SN2020hgr,14:16:26.47,+70:24:48.7,986.73,g,18.712,-20.06,89.644,43.612,46.032,SLSN-II,0.1258,45.04510634,0.041
ZTF20aapycrh,713215300002571,SN2020dbg,10:56:58.85,+43:04:36.6,906.8,g,18.4953,-15.58,58.545,5.971,52.574,SN II,0.015,61.8980411,0.024
ZTF20aaosoct,417203200010642,SN2020dcp,09:53:45.42,-04:59:31.7,912.75,g,18.0469,-19.13,23.519,9.211,14.308,SN Ia-91T,0.059,36.41013581,0.107
ZTF20aansktb,626215400014730,SN2020cpv,13:02:29.46,+28:12:15.8,906.85,g,18.7094,-19.53,34.816,8.72,26.096,SN Ia,0.1,87.32667661,0.023
ZTF20aamgdkb,843208400023508,SN2020cdi,11:38:39.35,+67:35:22.7,898.78,g,18.3534,-19.25,>27.947,10.857,>17.09,SN Ia,0.075,48.06294257,0.025
ZTF20aamfpcj,570214400005009,SN2020bza,09:46:26.00,+21:13:44.9,896.75,g,18.5476,-19.47,28.976,9.978,18.998,SN Ia-91T,0.0885,47.62710238,0.06
ZTF20aalxlis,719206200035484,SN2020bvc,14:33:57.01,+40:14:37.6,899.01,r,16.4356,-18.78,23.38,12.658,10.722,SN Ic-BL,0.02523,65.10539069,0.034
ZTF20aalrqbu,678211200023160,SN2020bqj,15:33:40.48,+34:28:44.2,891.05,g,17.983,-19.45,66.671,10.129,56.542,SN Ibn,0.068,54.63808647,0.062
